ID;Funcionário_deixou_a_empresa;Idade;Frequência de Viagens;Distância_do_trabalho;Formação;E-Sat;Gênero;Estado_Civil;Salário;Qte_Empresas_Trabalhadas;Faz_hora_extras?;Perc_de_aumento;Qte_ações_da_empresa;Tempo_de_carreira;Horas_de_treinamento;Equilibrio_de_Vida;Tempo_de_empresa;Anos_no_mesmo_cargo;Anos_desde_a_ultima_promocao;Anos_com_o_mesmo_chefe
410;Não;42;Viaja frequentemente;29;Ensino Técnico;Baixo;M;Divorciado;4556;2;Não;11;1;19;3;Muito bom;5;4;0;2
411;Não;30;Viaja raramente;2;Ensino Superior;Alto;M;Solteiro;6091;2;Não;20;0;11;2;Muito bom;5;4;0;2
412;Não;60;Viaja raramente;7;Ensino Superior;Baixo;M;Casado;19566;5;Não;11;0;33;5;Ruim;29;8;11;10
413;Não;46;Viaja raramente;18;Ensino Superior;Alto;M;Divorciado;4810;2;Não;14;1;19;5;Bom;10;7;0;8
414;Não;42;Viaja frequentemente;28;Mestrado;Muito Alto;M;Casado;4523;0;Não;11;3;7;4;Excelente;6;5;0;4
415;Sim;24;Viaja raramente;1;Ensino Médio;Baixo;M;Solteiro;3202;1;Sim;16;0;6;4;Muito bom;5;3;1;4
416;Sim;34;Viaja frequentemente;6;Ensino Técnico;Muito Alto;M;Divorciado;2351;0;Não;16;1;3;3;Bom;2;2;1;0
417;Não;38;Viaja frequentemente;2;Ensino Técnico;Muito Alto;H;Casado;1702;1;Sim;23;1;1;3;Muito bom;1;0;0;0
418;Não;40;Viaja raramente;2;Mestrado;Alto;M;Casado;18041;0;Não;14;0;21;2;Muito bom;20;15;1;12
419;Não;26;Viaja raramente;23;Ensino Superior;Baixo;M;Divorciado;2886;1;Não;22;2;3;3;Ruim;3;2;0;2
420;Não;30;Não viaja;3;Ensino Superior;Alto;H;Casado;2097;4;Não;15;1;9;3;Ruim;5;3;1;4
421;Não;29;Viaja raramente;3;Mestrado;Médio;H;Casado;11935;1;Não;18;0;10;2;Muito bom;10;2;0;7
422;Sim;29;Viaja raramente;25;Doutorado;Alto;M;Casado;2546;5;Não;16;0;6;2;Excelente;2;2;1;1
423;Sim;19;Viaja raramente;2;Ensino Técnico;Baixo;H;Solteiro;2564;1;Não;12;0;1;3;Excelente;1;0;0;0
424;Não;30;Não viaja;22;Mestrado;Alto;M;Casado;8412;0;Não;11;0;10;3;Muito bom;9;8;7;8
425;Não;57;Viaja raramente;29;Ensino Superior;Baixo;H;Divorciado;14118;3;Não;12;1;32;3;Bom;1;0;0;0
426;Não;50;Viaja raramente;29;Mestrado;Médio;H;Casado;17046;0;Não;15;1;28;2;Muito bom;27;10;15;7
427;Não;30;Não viaja;2;Ensino Superior;Alto;M;Solteiro;2564;0;Não;14;0;12;2;Bom;11;7;6;7
428;Não;60;Viaja frequentemente;28;Ensino Superior;Alto;M;Casado;10266;4;Não;19;0;22;5;Excelente;18;13;13;11
429;Não;47;Viaja raramente;2;Ensino Técnico;Baixo;M;Divorciado;5070;5;Não;13;3;20;2;Muito bom;5;0;0;4
430;Não;46;Viaja raramente;2;Ensino Superior;Baixo;H;Casado;17861;6;Não;13;0;26;2;Ruim;3;2;0;1
431;Não;35;Viaja raramente;22;Ensino Superior;Muito Alto;H;Solteiro;4230;0;Não;15;0;6;2;Muito bom;5;4;4;3
432;Não;54;Viaja raramente;8;Mestrado;Alto;M;Solteiro;3780;7;Não;11;0;19;3;Muito bom;1;0;0;0
433;Não;34;Viaja raramente;2;Mestrado;Muito Alto;H;Divorciado;2768;3;Não;12;1;14;3;Muito bom;7;3;5;7
434;Não;46;Viaja raramente;10;Ensino Superior;Alto;M;Casado;9071;2;Sim;19;1;15;3;Muito bom;3;2;1;2
435;Não;31;Viaja raramente;9;Ensino Médio;Alto;H;Divorciado;10648;1;Não;25;1;13;6;Excelente;13;8;0;8
436;Sim;33;Viaja raramente;15;Ensino Médio;Médio;H;Casado;13610;7;Sim;12;0;15;2;Excelente;7;6;7;7
437;Sim;33;Viaja raramente;10;Ensino Médio;Baixo;H;Divorciado;3408;7;Não;13;3;8;2;Muito bom;4;3;1;3
438;Não;30;Viaja raramente;7;Ensino Médio;Muito Alto;H;Solteiro;2983;0;Não;14;0;4;3;Muito bom;3;2;1;2
439;Não;35;Viaja raramente;16;Ensino Superior;Muito Alto;H;Casado;7632;4;Sim;12;0;10;2;Muito bom;8;7;0;0
440;Sim;31;Viaja frequentemente;20;Ensino Superior;Baixo;H;Casado;9824;3;Não;12;0;12;2;Muito bom;1;0;0;0
441;Sim;34;Viaja frequentemente;23;Ensino Superior;Médio;M;Divorciado;9950;9;Sim;15;3;11;2;Muito bom;3;2;0;2
442;Não;42;Viaja frequentemente;5;Ensino Técnico;Médio;H;Casado;2093;4;Não;17;1;8;4;Muito bom;2;2;2;0
443;Não;36;Não viaja;10;Mestrado;Médio;H;Solteiro;9980;1;Não;14;0;10;3;Bom;10;3;9;7
444;Sim;22;Viaja frequentemente;4;Ensino Médio;Alto;H;Solteiro;3894;5;Não;16;0;4;3;Muito bom;2;2;1;2
445;Não;48;Viaja raramente;2;Doutorado;Médio;M;Casado;4051;2;Não;14;1;14;2;Muito bom;9;7;6;7
446;Não;55;Viaja raramente;18;Doutorado;Baixo;M;Solteiro;16835;3;Não;23;0;37;2;Muito bom;10;9;7;7
447;Não;41;Não viaja;10;Ensino Técnico;Muito Alto;H;Solteiro;6230;7;Não;14;0;16;3;Muito bom;14;3;1;10
448;Não;35;Viaja raramente;1;Ensino Superior;Médio;H;Casado;4717;9;Não;11;0;15;2;Muito bom;11;9;6;9
449;Não;40;Viaja raramente;6;Ensino Superior;Médio;M;Solteiro;13237;7;Não;15;0;22;3;Muito bom;20;6;5;13
450;Não;39;Viaja frequentemente;8;Ensino Médio;Alto;M;Casado;3755;1;Não;11;1;8;3;Muito bom;8;3;0;7
451;Não;31;Viaja raramente;2;Ensino Médio;Médio;H;Solteiro;6582;4;Sim;13;0;10;2;Excelente;6;5;0;5
452;Não;42;Viaja raramente;24;Ensino Superior;Muito Alto;H;Casado;7406;1;Sim;21;1;10;5;Bom;10;9;5;8
453;Não;45;Viaja raramente;2;Ensino Superior;Muito Alto;H;Casado;4805;0;Não;19;1;9;3;Excelente;8;7;3;7
454;Sim;26;Viaja frequentemente;17;Mestrado;Médio;M;Divorciado;2741;0;Sim;11;1;8;2;Bom;7;7;1;0
455;Não;29;Viaja raramente;19;Ensino Superior;Muito Alto;H;Divorciado;4262;4;Não;12;2;8;2;Excelente;3;2;1;2
456;Não;33;Viaja raramente;1;Doutorado;Baixo;M;Divorciado;16184;4;Não;19;1;10;2;Muito bom;6;1;0;5
457;Não;31;Viaja raramente;7;Ensino Superior;Alto;H;Divorciado;11557;9;Não;21;1;10;3;Bom;5;4;0;1
458;Sim;18;Viaja frequentemente;5;Ensino Superior;Médio;H;Solteiro;1878;1;Sim;14;0;0;3;Muito bom;0;0;0;0
459;Não;40;Não viaja;28;Ensino Superior;Alto;H;Divorciado;10932;3;Não;15;1;20;2;Muito bom;1;0;0;1
460;Não;41;Não viaja;2;Mestrado;Baixo;M;Solteiro;6811;2;Sim;17;0;10;3;Muito bom;8;7;0;7
461;Não;26;Viaja raramente;29;Ensino Técnico;Baixo;H;Divorciado;4306;5;Não;12;2;8;5;Muito bom;0;0;0;0
462;Não;35;Viaja raramente;1;Ensino Superior;Baixo;M;Solteiro;4859;1;Não;16;0;5;3;Muito bom;5;4;0;3
463;Não;34;Viaja raramente;21;Mestrado;Muito Alto;H;Solteiro;5337;1;Não;12;0;10;3;Muito bom;10;7;5;7
464;Sim;26;Viaja raramente;24;Ensino Superior;Alto;H;Solteiro;2340;1;Sim;18;0;1;3;Ruim;1;0;0;0
465;Não;37;Viaja raramente;1;Ensino Superior;Médio;M;Solteiro;7491;4;Não;17;0;12;3;Excelente;6;5;1;2
466;Não;46;Viaja frequentemente;18;Ensino Médio;Baixo;M;Casado;10527;5;Não;11;0;28;3;Bom;2;2;1;2
467;Não;41;Viaja raramente;2;Doutorado;Médio;M;Casado;16595;7;Não;16;1;22;2;Muito bom;18;16;11;8
468;Não;37;Não viaja;9;Mestrado;Baixo;H;Divorciado;8834;1;Não;13;1;9;6;Muito bom;9;5;7;7
469;Não;52;Viaja raramente;6;Ensino Técnico;Muito Alto;H;Divorciado;5577;3;Sim;12;2;18;3;Muito bom;10;9;6;9
470;Sim;32;Não viaja;11;Mestrado;Muito Alto;H;Casado;4707;8;Não;12;0;6;2;Muito bom;4;2;1;2
471;Não;24;Viaja frequentemente;24;Ensino Superior;Muito Alto;H;Casado;2400;0;Não;13;2;3;3;Muito bom;2;2;2;1
472;Não;38;Viaja raramente;10;Ensino Superior;Alto;M;Casado;9824;3;Não;19;1;18;4;Muito bom;1;0;0;0
473;Não;37;Viaja raramente;1;Mestrado;Médio;M;Casado;6447;6;Não;12;1;8;2;Bom;6;5;4;3
474;Não;49;Viaja raramente;18;Mestrado;Muito Alto;H;Divorciado;19502;1;Sim;17;1;31;5;Muito bom;31;9;0;9
475;Não;24;Viaja raramente;23;Ensino Superior;Médio;H;Casado;2725;1;Sim;11;2;6;3;Muito bom;6;5;1;4
476;Não;26;Viaja raramente;28;Ensino Técnico;Baixo;H;Casado;6272;1;Não;20;2;6;5;Excelente;5;3;1;4
477;Não;24;Viaja raramente;17;Ensino Técnico;Muito Alto;H;Casado;2127;1;Não;21;1;1;2;Muito bom;1;0;0;0
478;Não;50;Viaja frequentemente;3;Ensino Superior;Baixo;H;Casado;18200;1;Não;11;1;32;2;Muito bom;32;5;10;7
479;Não;25;Viaja raramente;13;Ensino Médio;Médio;H;Casado;2096;1;Não;11;0;7;1;Muito bom;7;4;0;6
480;Sim;24;Viaja frequentemente;7;Ensino Superior;Baixo;M;Casado;2886;1;Sim;16;1;6;4;Muito bom;6;3;1;2
481;Sim;30;Viaja frequentemente;12;Mestrado;Médio;H;Casado;2033;1;Não;18;1;1;2;Excelente;1;0;0;0
482;Não;34;Viaja raramente;1;Ensino Técnico;Médio;H;Casado;3622;1;Sim;13;1;6;3;Muito bom;6;5;1;3
483;Sim;31;Viaja raramente;13;Mestrado;Médio;H;Divorciado;4233;2;Não;17;0;9;2;Ruim;3;1;1;2
484;Não;35;Viaja raramente;25;Ensino Técnico;Baixo;H;Solteiro;3681;4;Não;14;0;9;3;Muito bom;3;2;0;2
485;Não;31;Viaja raramente;6;Mestrado;Baixo;H;Divorciado;5460;4;Não;22;2;13;4;Excelente;7;7;5;7
486;Não;27;Viaja raramente;6;Mestrado;Baixo;M;Divorciado;2187;0;Não;12;2;6;5;Bom;5;3;0;3
487;Não;37;Viaja raramente;2;Ensino Superior;Muito Alto;H;Casado;9602;4;Sim;11;1;17;3;Bom;3;0;1;0
488;Não;20;Viaja raramente;1;Ensino Superior;Muito Alto;M;Solteiro;2836;1;Não;13;0;1;0;Excelente;1;0;0;0
489;Não;42;Viaja raramente;2;Mestrado;Alto;M;Casado;4089;1;Não;13;2;10;4;Muito bom;10;2;2;2
490;Não;43;Viaja raramente;6;Mestrado;Médio;H;Divorciado;16627;4;Sim;14;1;21;3;Bom;1;0;0;0
491;Não;38;Viaja raramente;1;Ensino Médio;Alto;M;Solteiro;2619;3;Não;17;0;8;3;Bom;0;0;0;0
492;Não;43;Viaja frequentemente;9;Doutorado;Muito Alto;H;Divorciado;5679;3;Sim;13;1;10;3;Muito bom;8;7;4;7
493;Não;48;Viaja raramente;1;Mestrado;Muito Alto;M;Casado;15402;7;Não;11;1;21;3;Ruim;3;2;0;2
494;Não;44;Viaja raramente;1;Mestrado;Baixo;M;Solteiro;5985;4;Não;11;0;10;1;Excelente;2;2;0;2
495;Não;34;Viaja raramente;14;Ensino Superior;Alto;M;Divorciado;2579;1;Sim;18;2;8;3;Muito bom;8;2;0;6
496;Sim;27;Viaja raramente;2;Ensino Médio;Alto;H;Divorciado;3041;0;Não;11;1;5;3;Muito bom;4;3;0;2
497;Não;21;Viaja raramente;22;Ensino Médio;Alto;H;Solteiro;3447;1;Não;11;0;3;2;Muito bom;3;2;1;2
498;Não;44;Viaja raramente;3;Mestrado;Muito Alto;H;Casado;19513;4;Sim;12;1;26;2;Excelente;2;2;0;1
499;Não;22;Viaja raramente;6;Ensino Médio;Baixo;H;Casado;2773;0;Não;20;0;3;3;Muito bom;2;2;2;2
500;Não;33;Viaja raramente;8;Mestrado;Alto;H;Divorciado;7104;0;Não;12;0;6;3;Muito bom;5;0;1;2
501;Não;32;Viaja raramente;9;Mestrado;Baixo;M;Casado;6322;1;Sim;12;1;6;2;Bom;6;4;0;5
502;Não;30;Viaja frequentemente;3;Ensino Superior;Alto;M;Divorciado;2083;1;Não;20;1;1;2;Muito bom;1;0;0;0
503;Não;53;Viaja raramente;1;Ensino Médio;Muito Alto;M;Solteiro;8381;7;Não;20;0;18;2;Excelente;14;7;8;10
504;Não;34;Viaja raramente;1;Doutorado;Médio;H;Casado;2691;1;Não;12;1;10;4;Bom;10;9;8;8
505;Sim;45;Viaja frequentemente;26;Mestrado;Baixo;M;Casado;4286;2;Não;14;2;5;4;Muito bom;1;1;0;0
506;Não;26;Viaja raramente;6;Ensino Superior;Alto;M;Casado;2659;1;Sim;13;1;3;2;Muito bom;3;2;0;2
507;Não;37;Viaja raramente;3;Ensino Superior;Alto;H;Casado;9434;1;Não;15;1;10;2;Muito bom;10;7;7;8
508;Não;29;Viaja raramente;3;Ensino Técnico;Médio;M;Casado;5561;1;Não;14;1;6;5;Bom;6;0;1;2
509;Não;35;Viaja raramente;6;Mestrado;Médio;H;Solteiro;6646;1;Não;13;0;17;3;Muito bom;17;11;11;8
510;Não;33;Viaja frequentemente;6;Ensino Superior;Alto;H;Divorciado;7725;3;Não;23;1;15;2;Ruim;13;11;4;7
511;Não;54;Viaja raramente;19;Mestrado;Alto;H;Casado;10725;2;Não;15;1;16;1;Excelente;9;7;7;1
512;Não;36;Viaja raramente;9;Ensino Técnico;Médio;H;Divorciado;8847;2;Sim;11;1;13;2;Muito bom;3;2;0;2
513;Não;27;Viaja raramente;3;Mestrado;Baixo;H;Solteiro;2045;0;Não;13;0;5;0;Muito bom;4;2;1;1
514;Sim;20;Viaja raramente;10;Ensino Médio;Muito Alto;H;Solteiro;1009;1;Sim;11;0;1;5;Muito bom;1;0;1;1
515;Sim;33;Viaja frequentemente;3;Ensino Superior;Baixo;H;Solteiro;3348;1;Sim;11;0;10;3;Muito bom;10;8;9;7
516;Não;35;Não viaja;3;Ensino Superior;Alto;H;Casado;1281;1;Não;18;2;1;3;Muito bom;1;0;0;0
517;Não;23;Viaja raramente;4;Ensino Superior;Baixo;H;Casado;2819;2;Não;16;1;5;3;Excelente;3;2;0;2
518;Não;25;Viaja raramente;8;Ensino Superior;Muito Alto;H;Casado;4851;0;Não;22;1;4;4;Muito bom;3;2;1;2
519;Não;38;Viaja raramente;7;Mestrado;Muito Alto;M;Solteiro;4028;0;Não;20;0;8;2;Muito bom;7;7;0;5
520;Não;29;Viaja frequentemente;1;Mestrado;Médio;H;Divorciado;2720;1;Não;18;1;10;5;Muito bom;10;7;2;8
521;Não;48;Viaja raramente;2;Ensino Médio;Médio;H;Casado;8120;3;Não;12;0;12;3;Muito bom;2;2;2;2
522;Não;27;Viaja frequentemente;3;Ensino Médio;Muito Alto;M;Divorciado;4647;1;Sim;20;2;6;3;Muito bom;6;5;0;4
523;Não;37;Viaja raramente;10;Ensino Técnico;Muito Alto;H;Solteiro;4680;3;Não;17;0;4;2;Muito bom;1;0;0;0
524;Não;50;Viaja raramente;28;Ensino Médio;Muito Alto;H;Casado;3221;1;Sim;11;3;20;3;Muito bom;20;8;3;8
525;Não;34;Viaja raramente;9;Ensino Superior;Muito Alto;M;Solteiro;8621;1;Não;14;0;9;3;Excelente;8;7;7;7
526;Sim;24;Viaja raramente;3;Ensino Técnico;Baixo;M;Solteiro;4577;9;Não;14;0;4;3;Muito bom;2;2;2;0
527;Não;39;Viaja raramente;2;Mestrado;Muito Alto;M;Solteiro;4553;1;Não;11;0;20;4;Muito bom;20;7;11;10
528;Não;32;Viaja raramente;10;Ensino Superior;Muito Alto;H;Solteiro;5396;1;Não;12;0;10;2;Bom;10;7;0;8
529;Sim;50;Viaja frequentemente;8;Ensino Técnico;Médio;H;Casado;6796;3;Sim;14;1;18;4;Muito bom;4;3;1;3
530;Não;38;Viaja raramente;1;Mestrado;Médio;M;Solteiro;7625;0;Não;13;0;10;4;Bom;9;7;1;8
531;Não;27;Viaja raramente;1;Ensino Técnico;Alto;M;Casado;7412;1;Não;11;0;9;3;Muito bom;9;7;0;7
532;Não;32;Viaja raramente;3;Ensino Técnico;Alto;M;Solteiro;11159;3;Não;15;0;10;6;Muito bom;7;7;7;7
533;Não;47;Viaja raramente;14;Mestrado;Muito Alto;H;Solteiro;4960;2;Não;12;0;20;2;Muito bom;7;7;1;7
534;Não;40;Viaja frequentemente;5;Mestrado;Muito Alto;H;Casado;10475;5;Sim;21;1;20;2;Muito bom;18;13;1;12
535;Não;53;Viaja raramente;7;Ensino Superior;Alto;H;Casado;14814;3;Não;19;0;32;3;Muito bom;5;1;1;3
536;Não;41;Viaja raramente;10;Mestrado;Médio;H;Divorciado;19141;3;Não;15;3;23;2;Bom;21;6;12;6
537;Não;60;Viaja raramente;16;Mestrado;Baixo;H;Solteiro;5405;8;Não;14;0;10;1;Muito bom;2;2;2;2
538;Não;27;Viaja frequentemente;10;Ensino Técnico;Muito Alto;H;Divorciado;8793;1;Não;21;2;9;4;Bom;9;7;1;7
539;Não;41;Viaja raramente;1;Ensino Superior;Muito Alto;H;Casado;19189;1;Não;12;1;22;3;Muito bom;22;7;2;10
540;Não;50;Viaja raramente;8;Mestrado;Muito Alto;H;Casado;3875;7;Não;15;1;4;2;Muito bom;2;2;2;2
541;Sim;28;Viaja raramente;1;Ensino Técnico;Baixo;M;Solteiro;2216;7;Sim;13;0;10;4;Muito bom;7;7;3;7
542;Não;36;Não viaja;8;Ensino Superior;Baixo;M;Casado;11713;9;Não;14;1;10;2;Muito bom;8;7;0;5
543;Não;38;Viaja raramente;1;Ensino Superior;Alto;M;Solteiro;7861;4;Sim;14;0;10;4;Excelente;1;0;0;0
544;Não;44;Não viaja;24;Ensino Superior;Baixo;H;Solteiro;3708;2;Não;14;0;9;5;Muito bom;5;2;1;4
545;Não;47;Viaja frequentemente;3;Ensino Superior;Muito Alto;M;Divorciado;13770;9;Sim;12;2;28;2;Bom;22;2;11;13
546;Não;30;Viaja raramente;27;Doutorado;Alto;H;Divorciado;5304;7;Não;23;1;10;2;Bom;8;7;7;7
547;Não;29;Viaja raramente;10;Ensino Superior;Alto;H;Solteiro;2642;1;Não;11;0;1;6;Muito bom;1;0;0;0
548;Sim;42;Viaja frequentemente;19;Ensino Superior;Alto;H;Divorciado;2759;6;Sim;12;0;7;2;Muito bom;2;2;2;2
549;Não;43;Viaja frequentemente;15;Ensino Superior;Muito Alto;H;Casado;6804;3;Não;18;1;7;5;Muito bom;2;2;2;2
550;Não;34;Viaja raramente;8;Ensino Técnico;Médio;M;Solteiro;6142;3;Não;11;0;10;2;Muito bom;5;1;4;3
551;Não;23;Viaja raramente;9;Ensino Médio;Médio;H;Casado;2500;1;Não;14;1;5;2;Excelente;4;3;0;2
552;Não;39;Viaja raramente;3;Ensino Superior;Alto;M;Casado;6389;9;Não;15;1;12;3;Ruim;8;3;3;6
553;Não;56;Viaja raramente;9;Ensino Superior;Alto;H;Casado;11103;7;Não;11;0;30;1;Bom;10;7;1;1
554;Não;40;Viaja raramente;2;Ensino Médio;Muito Alto;M;Solteiro;2342;0;Sim;20;0;5;2;Bom;4;2;2;3
555;Não;27;Viaja raramente;7;Ensino Superior;Muito Alto;M;Solteiro;6811;8;Não;19;0;9;2;Ruim;7;6;0;7
556;Não;29;Viaja raramente;10;Ensino Superior;Muito Alto;H;Divorciado;2297;1;Não;14;2;2;2;Muito bom;2;2;2;2
557;Não;53;Viaja raramente;6;Ensino Superior;Muito Alto;H;Solteiro;2450;2;Não;17;0;19;4;Muito bom;2;2;2;2
558;Não;35;Não viaja;2;Mestrado;Muito Alto;M;Divorciado;5093;2;Não;11;1;16;2;Excelente;1;0;0;0
559;Não;32;Viaja frequentemente;24;Mestrado;Baixo;H;Casado;5309;1;Não;15;2;10;2;Muito bom;10;8;4;7
560;Não;38;Viaja raramente;2;Doutorado;Muito Alto;H;Casado;3057;6;Sim;13;1;6;0;Ruim;1;0;0;1
561;Não;34;Viaja raramente;8;Doutorado;Médio;M;Divorciado;5121;3;Não;14;1;7;3;Muito bom;0;0;0;0
562;Não;52;Viaja raramente;3;Mestrado;Alto;H;Casado;16856;1;Não;11;0;34;3;Excelente;34;6;1;16
563;Sim;33;Viaja raramente;1;Mestrado;Muito Alto;H;Solteiro;2686;1;Sim;13;0;10;2;Bom;10;9;7;8
564;Não;25;Viaja raramente;26;Ensino Médio;Alto;M;Solteiro;6180;1;Não;23;0;6;5;Bom;6;5;1;4
565;Não;45;Viaja raramente;2;Ensino Técnico;Médio;H;Solteiro;6632;0;Não;13;0;9;3;Muito bom;8;7;3;1
566;Não;23;Viaja raramente;10;Ensino Médio;Baixo;H;Solteiro;3505;1;Não;18;0;2;3;Muito bom;2;2;0;2
567;Sim;47;Viaja frequentemente;27;Ensino Técnico;Médio;M;Solteiro;6397;4;Sim;12;0;8;2;Muito bom;5;4;1;3
568;Não;34;Viaja raramente;2;Ensino Superior;Muito Alto;H;Solteiro;6274;1;Não;22;0;6;5;Muito bom;6;5;1;4
569;Sim;55;Viaja raramente;2;Ensino Superior;Muito Alto;H;Casado;19859;5;Sim;13;1;24;2;Muito bom;5;2;1;4
570;Não;36;Não viaja;8;Mestrado;Baixo;H;Solteiro;7587;1;Não;15;0;10;1;Muito bom;10;7;0;9
571;Não;52;Não viaja;19;Mestrado;Muito Alto;H;Casado;4258;0;Não;18;1;5;3;Muito bom;4;3;1;2
572;Não;26;Viaja frequentemente;1;Ensino Técnico;Baixo;M;Divorciado;4364;3;Não;14;1;5;2;Muito bom;2;2;2;0
573;Não;29;Viaja raramente;27;Ensino Superior;Médio;M;Casado;4335;4;Não;12;1;11;3;Bom;8;7;1;1
574;Sim;26;Viaja raramente;8;Ensino Superior;Muito Alto;H;Solteiro;5326;6;Não;17;0;6;2;Bom;4;3;1;2
575;Não;34;Viaja raramente;1;Mestrado;Médio;M;Solteiro;3280;2;Não;16;0;10;2;Muito bom;4;2;1;3
576;Não;54;Viaja raramente;19;Mestrado;Muito Alto;M;Divorciado;5485;9;Sim;11;2;9;4;Muito bom;5;3;1;4
577;Não;27;Viaja frequentemente;8;Ensino Médio;Alto;H;Casado;4342;0;Não;19;1;5;3;Muito bom;4;2;1;1
578;Não;37;Viaja raramente;10;Ensino Médio;Muito Alto;M;Divorciado;2782;0;Sim;13;2;6;3;Bom;5;3;4;3
579;Não;38;Viaja frequentemente;2;Mestrado;Baixo;M;Solteiro;5980;6;Sim;12;0;17;2;Muito bom;15;7;4;12
580;Não;34;Viaja raramente;2;Mestrado;Alto;M;Solteiro;4381;1;Não;11;0;6;3;Muito bom;6;5;1;3
581;Não;35;Viaja raramente;8;Mestrado;Baixo;M;Casado;2572;1;Não;16;1;3;1;Bom;3;2;0;2
582;Não;30;Viaja raramente;1;Ensino Superior;Muito Alto;H;Casado;3833;3;Não;21;2;7;2;Muito bom;2;2;0;2
583;Não;40;Viaja frequentemente;2;Ensino Técnico;Alto;M;Casado;4244;1;Não;24;1;8;2;Muito bom;8;7;3;7
584;Não;34;Viaja raramente;8;Ensino Técnico;Alto;M;Casado;6500;5;Não;17;1;6;1;Muito bom;3;2;1;2
585;Não;42;Viaja frequentemente;8;Ensino Superior;Médio;H;Divorciado;18430;1;Não;13;1;24;4;Bom;24;7;14;9
586;Sim;23;Viaja raramente;6;Ensino Superior;Alto;H;Casado;1601;1;Sim;21;2;1;2;Muito bom;0;0;0;0
587;Não;24;Não viaja;9;Ensino Superior;Alto;H;Divorciado;2694;1;Não;11;3;1;4;Muito bom;1;0;0;0
588;Não;52;Viaja raramente;11;Mestrado;Muito Alto;M;Casado;3149;8;Não;20;1;9;3;Muito bom;5;2;1;4
589;Não;50;Viaja raramente;2;Ensino Superior;Alto;H;Casado;17639;5;Não;16;0;30;3;Muito bom;4;3;0;3
590;Sim;29;Viaja raramente;1;Ensino Técnico;Médio;M;Casado;2319;1;Sim;11;1;1;1;Muito bom;1;0;0;0
591;Não;33;Viaja raramente;7;Ensino Superior;Alto;H;Casado;11691;0;Não;11;0;14;3;Excelente;13;9;3;7
592;Sim;33;Viaja raramente;16;Ensino Superior;Baixo;M;Solteiro;5324;5;Não;15;0;6;3;Muito bom;3;2;0;2
593;Não;47;Viaja raramente;2;Ensino Técnico;Alto;M;Casado;16752;1;Sim;11;1;26;3;Bom;26;14;3;0
594;Não;36;Viaja raramente;1;Ensino Superior;Alto;M;Casado;5228;0;Não;15;1;10;2;Muito bom;9;7;0;5
595;Não;29;Viaja raramente;23;Ensino Técnico;Alto;H;Casado;2700;1;Não;24;1;10;3;Muito bom;10;7;0;7
596;Sim;58;Viaja raramente;2;Mestrado;Muito Alto;H;Solteiro;19246;7;Sim;12;0;40;2;Muito bom;31;15;13;8
597;Não;35;Viaja raramente;1;Mestrado;Muito Alto;M;Solteiro;2506;3;Não;13;0;7;0;Muito bom;2;2;2;2
598;Não;42;Viaja raramente;1;Ensino Técnico;Muito Alto;M;Casado;6062;9;Sim;13;1;8;4;Muito bom;4;3;0;2
599;Sim;28;Viaja raramente;2;Mestrado;Alto;H;Solteiro;4382;6;Não;17;0;5;3;Bom;2;2;2;1
600;Não;36;Viaja raramente;13;Ensino Superior;Alto;H;Casado;2143;4;Não;13;1;8;2;Muito bom;5;2;0;4
601;Não;32;Viaja raramente;4;Ensino Superior;Alto;M;Casado;6162;1;Não;12;1;14;3;Muito bom;14;13;6;8
602;Não;40;Viaja frequentemente;16;Mestrado;Baixo;H;Solteiro;5094;6;Não;14;0;10;6;Muito bom;1;0;0;0
603;Não;30;Viaja raramente;2;Ensino Superior;Alto;M;Solteiro;6877;5;Sim;24;0;12;4;Bom;0;0;0;0
604;Não;45;Viaja raramente;2;Ensino Superior;Médio;M;Solteiro;2274;1;Não;14;0;1;3;Muito bom;1;0;0;0
605;Não;42;Viaja raramente;29;Ensino Superior;Médio;H;Casado;4434;1;Não;13;1;10;3;Bom;9;8;7;8
606;Não;38;Viaja frequentemente;12;Ensino Superior;Baixo;H;Divorciado;6288;2;Não;15;1;13;3;Bom;4;3;1;2
607;Não;34;Viaja frequentemente;16;Mestrado;Alto;M;Solteiro;2553;1;Não;16;0;6;3;Muito bom;5;2;1;3
608;Sim;49;Viaja raramente;11;Ensino Superior;Alto;M;Casado;7654;1;Não;18;2;9;3;Excelente;9;8;7;7
609;Sim;55;Viaja raramente;2;Ensino Médio;Alto;H;Solteiro;5160;4;Não;16;0;12;3;Bom;9;7;7;3
610;Não;43;Viaja raramente;14;Ensino Técnico;Médio;H;Casado;17159;6;Não;24;1;22;3;Muito bom;4;1;1;0
611;Não;27;Viaja raramente;5;Ensino Médio;Alto;H;Divorciado;12808;1;Sim;16;1;9;3;Muito bom;9;8;0;8
612;Não;35;Viaja raramente;7;Ensino Superior;Alto;H;Solteiro;10221;3;Não;21;0;17;3;Excelente;8;5;1;6
613;Não;28;Viaja raramente;2;Mestrado;Médio;M;Casado;4779;1;Sim;20;0;8;2;Muito bom;8;7;7;5
614;Não;34;Viaja raramente;3;Ensino Técnico;Alto;H;Casado;3737;0;Não;19;1;4;1;Ruim;3;2;0;2
615;Sim;26;Viaja frequentemente;5;Ensino Técnico;Alto;M;Casado;2366;1;Sim;14;1;8;2;Muito bom;8;7;1;7
